Metal,Category,Item Name,Pre Id / Short Code / SELL / PUR Code,Model No
GOLD,EARRING,CZ BABY A+,BRCZBA#,BRCZBA
GOLD,EARRING,ENEMAL RING,BRE#,BRE
GOLD,EARRING,BAND EARRINGS,BRB#,BRB
GOLD,EARRING,3 LINE,BR3L#,BR3L
GOLD,EARRING,CNC BAND RING,BRCNC#,BRCNC
GOLD,BRACELET,FIGARO PLAIN > 3,S-GAB350#,BFP
GOLD,BRACELET,FIGARO PLAIN > 3,S-GADC3+1180#,BFP
GOLD,BRACELET,FIGARO PLAIN > 3,S-GADC3+1200#,BFP
GOLD,BRACELET,BABY BRACELET,S-GADE3+1100#,BBB
GOLD,BRACELET,BABY BRACELET,S-GADE3+1100#,BBB
GOLD,BRACELET,BABY BRACELET,S-GADE3+1100#,BBB
GOLD,BRACELET,BABY BRACELET,S-GADE3+1100#,BBB
GOLD,BRACELET,P.C BRACELET < 12,S-B/328.5#,BPC
GOLD,BRACELET,P.C BRACELET < 12,S-STBR000027#,BPC
GOLD,BRACELET,P.C BRACELET < 12,CARTIER#,BPC
GOLD,BRACELET,P.C BRACELET < 12,S-B/32#,BPC
GOLD,CHAINS,FIGARO PLAIN > 3,S-GAD 3+1150#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GAD 3+1200#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADC3+1150#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADC3+1150#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADC3+1180#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADC3+1180#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADC3+1250#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADC3+1250#,CFP
GOLD,CHAINS,FIGARO PLAIN > 3,S-GADE3+1100#,CFP
GOLD,GENTS RING,9CZ E-COUTING,GR9CZ#,GR9CZ
GOLD,GENTS RING,9CZ STONE R.G,GR9CZ#,GR9CZ
GOLD,GENTS RING,9CZ STONE T.T,GR9CZ#,GR9CZ
GOLD,GENTS RING,ALPHA A+,GRAA#,GRAA
GOLD,GENTS RING,COLOUR CLOSE,GRCC#,GRCC
GOLD,GENTS RING,GOD  T.T,GRGTT#,GRGTT
GOLD,GENTS RING,GOD BALAJI,GRGB#,GRGB
GOLD,GENTS RING,GOD GANESH JI,GRGG#,GRGG
GOLD,GENTS RING,GR A+,GRA#,GRA
GOLD,KADA,PUNJABI KADA,R-34#,KPK
GOLD,KADA,PUNJABI KADA,R-37#,KCPK
GOLD,KADA,TIGER RUBBER KADA,R-10#,KTRK
GOLD,LADIES RING,CC MICRO,LRCCM#,LRCCM
GOLD,LADIES RING,CZ SMALL COLOUR,LRCZSC#,LRCZSC
GOLD,LADIES RING,CZ TORTOISE,LRCZT#,LRCZT
GOLD,NAZARIYA,FANCY NAZARIYA,R-22#,NFN
GOLD,NAZARIYA,FANCY NAZARIYA SP,R-23#,NFSP
GOLD,NAZARIYA,NAZARIYA,R-24#,NN
GOLD,NAZARIYA,NAZARIYA PAYAL,R-30#,NP
GOLD,NAZARIYA,NAZARIYA SP,R-25#,NSP
GOLD,PENDENT,BABY PENDENT,R-20#,PBP
GOLD,RING,SOLITAIRE RINGS,R-31#,RSR
GOLD,RING,SQUARE BANGKOK RING,R-28#,RSBR
GOLD,RING,TIGER BANGKOK RING,R-26#,RTB
