metal ,Category,Item Name,Pre Id / Short Code / SELL / PUR Code,Model No,Description,Color,Shape,Size,Length,Width,Purity,Clarity,Sub Item,Other Info,Model No without hash
STONE,DIAMOND,DIAMOND,DIA23#,SDIA,STONE ORNAMENT GST,,,,,,,,,,DIA23
STONE,RUBY,RUBY,SRU78#,SRUB,STONE ORNAMENT GST,,,,,,,,,,SRU78
STONE,PACHU,PACHU,PAC34#,SPA,STONE ORNAMENT GST,,,,,,,,,,PAC34
STONE,EMERALD,EMERALD,PAC67#,SEME,STONE ORNAMENT GST,,,,,,,,,,PAC67
STONE,BLUE TOPAZ,BLUE TOPAZ,BLU90#,SBLU,STONE ORNAMENT GST,,,,,,,,,,BLU90
STONE,WHITE TOPAZ,WHITE TOPAZ,WHI56#,SWH,STONE ORNAMENT GST,,,,,,,,,,WHI56
STONE,GARNET,GARNET,GAR89#,SGA,STONE ORNAMENT GST,,,,,,,,,,GAR89
STONE,AMETHYST,AMETHYST,AME78#,SAM,STONE ORNAMENT GST,,,,,,,,,,AME78
STONE,AQUAMARINE,AQUAMARINE,AQU98#,SAQ,STONE ORNAMENT GST,,,,,,,,,,AQU98
STONE,ALEXANDRITE,ALEXANDRITE,ALE65#,SAL,STONE ORNAMENT GST,,,,,,,,,,ALE65
STONE,PERIDOT,PERIDOT,PER54#,SPE,STONE ORNAMENT GST,,,,,,,,,,PER54
STONE,CITRINE,CITRINE,CIT09#,SCI,STONE ORNAMENT GST,,,,,,,,,,CIT09
STONE,TOURMALINE,TOURMALINE,TOU32#,STO,STONE ORNAMENT GST,,,,,,,,,,TOU32
STONE,SAPPHIRE,SAPPHIRE,SSAP89#,SSAP,STONE ORNAMENT GST,,,,,,,,,,SSAP89
STONE,TIGER EYE,TIGER EYE,TIGE32#,STIG,STONE ORNAMENT GST,,,,,,,,,,TIGE32
STONE,CATS EYE,CATS EYE,CAT21#,SCA,STONE ORNAMENT GST,,,,,,,,,,CAT21
STONE,SPHENE,SPHENE,SAPH66#,SSPH,STONE ORNAMENT GST,,,,,,,,,,SAPH66
STONE,ASTROPHYLITE,ASTROPHYLITE,ASTR89#,SAS,STONE ORNAMENT GST,,,,,,,,,,ASTR89
STONE,CHAROITE,CHAROITE,CHAR92#,SCHA,STONE ORNAMENT GST,,,,,,,,,,CHAR92
STONE,SERPHINITE,SERPHINITE,SERP93#,SSER,STONE ORNAMENT GST,,,,,,,,,,SERP93
STONE,CRYSTAL,CRYSTAL,CRY85#,SCRY,STONE ORNAMENT GST,,,,,,,,,,CRY85
STONE,AGATE,AGATE,AGA86#,SAGA,STONE ORNAMENT GST,,,,,,,,,,AGA86
STONE,BERYL,BERYL,BER74#,SBER,STONE ORNAMENT GST,,,,,,,,,,BER74
STONE,CARNELIAN,CARNELIAN,CARN51#,SCAR,STONE ORNAMENT GST,,,,,,,,,,CARN51
STONE,TURQUOISE,TURQUOISE,TURQ73#,STUR,STONE ORNAMENT GST,,,,,,,,,,TURQ73
STONE,SPINEL,SPINEL,SPIN73#,SSPI,STONE ORNAMENT GST,,,,,,,,,,SPIN73
STONE,AMBER,AMBER,AMB02#,SAMB,STONE ORNAMENT GST,,,,,,,,,,AMB02
STONE,TANZANITE,TANZANITE,TANZ64#,STAN,STONE ORNAMENT GST,,,,,,,,,,TANZ64
STONE,OPAL,OPAL,OPA39#,SOPL,STONE ORNAMENT GST,,,,,,,,,,OPA39
