SNO,FIRM,TYPE,CATEGORY,PROD NAME,SHORT CODE / MODEL NO,LENGTH /SIZE,QTY/PIECES,GROSS/TOTAL WEIGHT,GROSS WEIGHT TYPE,PURITY/CARAT,PUR RATE,SELL RATE
1,SGEN,GOLD,RING,SUPER FANCY 3 - 7,S-ALQC000049,18,27,160.41,GM,14,31.28,40.5
2,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GAD3+1200,8.5,140,2714.45,GM,14,31.28,40.5
3,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GAD3+1200,8.5,140,2742.71,GM,14,31.28,40.5
4,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GAD3+1200,8.5,140,2721.74,GM,14,31.28,40.5
5,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GAD3+1200,8.5,28,551.2,GM,14,31.28,40.5
6,SGEN,GOLD,CHAIN,FIGARO PLAIN > 3,S-GADE3+1200,20,22,949.8,GM,14,31.28,40.5
7,SGEN,GOLD,CHAIN,FIGARO PLAIN > 3,S-GADE3+1200,20,25,1083,GM,14,31.28,40.5
8,SGEN,GOLD,CHAIN,FIGARO PLAIN > 3,S-GADE3+1200,24,20,1040.19,GM,14,31.28,40.5
9,SGEN,GOLD,CHAIN,FIGARO PLAIN > 3,S-GADE3+1200,7.5,55,889.6,GM,14,31.28,40.5
10,SGEN,GOLD,CHAIN,FIGARO PLAIN > 3,S-GADE3+1200,20,25,1082.08,GM,14,31.28,40.5
11,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GADE3+1200,8.5,105,1895.91,GM,14,31.28,40.5
12,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GADE3+1200,8.5,174,3194.85,GM,14,31.28,40.5
13,SGEN,GOLD,BRACELET,FIGARO PLAIN > 3,S-GADE3+1350,8.5,20,972.1,GM,14,31.28,40.5
14,SGEN,GOLD,BRACELET,SALMAN BRACELET,S-SB-63,8.5,20,658.63,GM,14,31.28,40.5
15,SGEN,GOLD,BRACELET,SALMAN BRACELET,S-SB-63,8.5,10,266.75,GM,14,31.28,40.5
16,SGEN,GOLD,CHAIN,FANCY > 3,S-SCO0000045,20,12,96.33,GM,14,31.28,40.5
17,SGEN,GOLD,CHAIN,FANCY > 3,S-SCT0000035,16,109,561.18,GM,14,31.28,40.5
